titulo,empresa,cidade,modalidade,descricao,link,data_coleta
Payments Alliances Manager,não divulgada (fintech de pagamentos),"São Paulo, SP",Remoto,"Construção e gestão de parcerias estratégicas de pagamento em ecossistemas globais e regionais, com foco na América Latina: identificação, avaliação, negociação e fechamento de provedores, liderando negociações comerciais (pricing, incentivos, SLAs).",https://empregandobrasil.com.br/vagas/payments-alliances-manager-sao-paulo-sp/,2026-09-23
Coordenador de Vendas – Canal Indireto,não divulgada,"Porto Alegre, RS",verificar,"Coordenação de vendas via canal indireto, gestão de parceiros e revendas na região de Porto Alegre.",https://empregandobrasil.com.br/vagas/coordenador-de-vendas-canal-indireto-porto-alegre-rs/,2026-09-23
Coordenador de Canal Indireto,não divulgada,"São Paulo, SP",verificar,"Coordenação do canal indireto, com gestão de parceiros comerciais e revendas na região de São Paulo.",https://empregandobrasil.com.br/vagas/coordenador-de-canal-indiretosp-sao-paulo-sp/,2026-09-23
Coordenador de Vendas - Canal Indireto (Curitiba),não divulgada,"Curitiba, PR",verificar,"Coordenação de vendas via canal indireto em Curitiba, faixa salarial de R$ 18.000 a R$ 30.000 + benefícios.",https://www.melhoresempregos.com/vaga/coordenador-de-vendas-canal-indireto-curitiba/curitiba-pr/875661/,2026-09-23
"Alliances - Partner Account Manager, Brazil",Salesforce,"São Paulo, SP",verificar,"Gestão de contas de parceiros e alianças estratégicas da Salesforce no Brasil, vaga publicada na própria página de carreiras da empresa.",https://careers.salesforce.com/en/jobs/jr305061/alliances-partner-account-manager/,2026-09-23
Coordenador de Vendas - Canal Indireto,Philips,Brasil,Remoto,"Coordenação de vendas via canal indireto na Philips Brasil, vaga publicada na própria página de carreiras (Workday) da empresa.",https://philips.wd3.myworkdayjobs.com/en-US/jobs-and-careers/job/Brazil---Remote-Based/Coordenador-de-Vendas---Canal-Indireto_555350/apply,2026-09-23
Executivo(a) de Parcerias Sênior,Sem Parar,"São Paulo, SP",Híbrido,Geração de resultados comerciais por meio da gestão estratégica de parceiros. Requer experiência em vendas B2B e habilidades de prospecção e gestão de portfólio.,https://www.jobleads.com/br/job/executivo-a-de-parcerias-senior-beneficios-sao-paulo-sp-and-hybrid-full-time-employee--sao-paulo--e589d2553f3883b42aaffeacbdeedc78f,2026-09-23
Analista de Negócios (Gestão de Parcerias) - Sênior,Montreal,"Belo Horizonte, MG",verificar,Atuação sênior em análise de negócios com foco em gestão de parcerias estratégicas.,https://vagasbr.empregonaweb.com/2026/09/10/analista-de-negocios-gestao-parcerias-senior-minas-gerais-mg/,2026-09-23
Executivo de Canais e Parcerias,BIZ - Tecnologia em Meios de Pagamento,não informado,verificar,"Geração de vendas no mercado de benefícios (vale refeição, alimentação, combustível, transporte), atuando tanto com parceiros já ativos quanto com novos indicadores estratégicos.",https://biz.vagas.solides.com.br/vaga/649815,2026-09-23
Key Account Senior (Canais & Strategic Partnerships),não divulgada,não informado,verificar,"Fortalecimento de relacionamentos executivos com parceiros estratégicos, identificação de oportunidades de crescimento e evolução comercial da parceria.",https://br.jooble.org/jdp/-9061645222340226280,2026-09-23
Pessoa Executiva de Canais Pl,Goomer,Brasil,Remoto,"Expansão da rede de parceiros e fortalecimento do ecossistema que a Goomer constrói no foodservice no Brasil. Vaga PJ, 100% remota.",https://www.horadoempregodf.com.br/vaga-100-remota-pessoa-executiva-de-canais-pl-a-oportunidade-perfeita-para-quem-ama-parcerias-estrategia-e-resultados/,2026-09-23
